0,7,12,12,13,11,12,0,18,9,10,12,13,2,16,8,1,13,17,14,7,15,2,5,1,3,3,16,14,19,10,8,13,18,7,4,3,13,11,12,6,4,2,17,12,17,18,15,8,9
7,19,0,15,5,2,6,10,18,3,15,12,12,10,18,13,8,2,9,3,0,13,15,2,14,9,6,15,16,4,15,5,11,18,12,5,5,16,18,3,19,18,4,2,7,8,14,3,16,17
12,0,8,6,3,5,5,9,6,11,3,3,15,8,7,5,19,13,14,1,3,3,6,12,14,7,1,3,18,13,6,2,18,9,9,13,18,8,5,9,7,14,5,16,0,9,12,10,15,18
12,15,6,5,1,1,10,5,7,12,3,14,0,2,8,7,7,8,7,0,2,14,17,8,3,18,13,9,7,17,0,6,6,13,15,16,18,18,9,4,2,2,3,13,12,1,3,0,0,5
13,5,3,1,15,6,2,3,6,17,17,5,0,6,16,1,14,4,8,17,10,11,9,14,12,7,3,0,7,11,16,12,11,0,18,10,0,15,7,9,15,16,11,12,15,11,11,13,7,10
11,2,5,1,6,6,15,15,7,14,14,6,9,1,6,2,14,1,14,4,8,16,17,4,10,1,11,12,1,0,17,9,18,10,19,5,14,16,15,8,7,2,0,17,4,10,11,13,14,5
12,6,5,10,2,15,4,18,1,9,14,9,6,14,3,7,18,16,6,17,2,19,11,17,19,15,7,2,2,16,17,9,0,10,8,19,3,11,2,18,10,2,10,16,6,6,11,3,17,15
0,10,9,5,3,15,18,8,6,11,10,8,13,14,18,2,14,3,8,17,0,13,15,6,17,8,6,7,5,9,19,8,13,17,17,4,1,5,1,19,18,7,17,4,5,8,12,17,8,0
18,18,6,7,6,7,1,6,6,14,7,19,13,3,13,9,6,14,9,8,17,15,18,5,13,19,13,8,6,3,2,9,9,6,17,10,5,13,10,4,15,16,11,10,17,19,3,13,15,13
9,3,11,12,17,14,9,11,14,8,15,3,0,17,16,19,16,16,5,3,5,6,8,5,19,18,4,15,5,19,1,18,2,17,12,12,4,14,7,6,18,12,2,17,1,8,8,6,5,0
10,15,3,3,17,14,14,10,7,15,0,14,10,1,18,4,4,4,12,9,14,15,5,11,3,17,5,12,17,13,4,15,17,6,7,12,8,9,1,19,18,7,1,5,3,1,19,6,5,12
12,12,3,14,5,6,9,8,19,3,14,10,8,10,3,17,15,3,4,3,16,14,1,9,6,9,3,18,17,7,7,19,7,15,17,0,3,1,11,3,11,17,0,11,0,1,13,14,16,19
